month,merchant_id,total_sales,order_count,merchant_name,city_id,rank
October 2023,0c6e4,140401.65,1061,Sandwich Express,6,1
October 2023,d4f0a,116242.83,881,Pasta Mania,2,2
October 2023,b0a4f,72886.14,589,Gourmet Express,5,3
October 2023,2b5d7,72710.84,605,Bagel House,4,4
October 2023,5c1f8,71729.81,541,Burger Factory,5,5
October 2023,7c1a9,70191.14,629,Fried Chicken Hub,8,6
October 2023,3f7e4,69954.04,598,Pizza Express,3,7
October 2023,9d5f2,69258.6,490,Chili Express,2,8
October 2023,1f5b7,67787.18,546,Mediterranean Grill,5,9
October 2023,7a8e0,67174.34,480,Thai Delight,2,10
October 2023,8f7c2,66679.23,422,Pancit Palace,2,11
October 2023,f7d1a,65427.06,407,Pancit Hub,8,12
October 2023,3b7f0,61052.52,436,Donut Palace,2,13
October 2023,5b3d8,56844.56,478,Veggie Delight,8,14
October 2023,9c8e2,54344.71,385,Pie Town,5,15
October 2023,0e1b3,52690.99,407,Chicken Shack,2,16
October 2023,7c5b9,52094.51,379,Pizza Palace,5,17
October 2023,7e2d8,51760.4,388,Teriyaki Bowl,8,18
October 2023,5e0b4,51246.79,356,Tapas Express,2,19
October 2023,4d9f1,49770.84,351,Salad Bowl,5,20
October 2023,8f2a6,49238.67,358,Sushi Haven,4,21
October 2023,f1c7a,49208.17,413,Thai Orchid,5,22
October 2023,c8d3e,47975.659999999996,323,Pho Haven,5,23
October 2023,4a7c1,47841.85,377,Poke Express,5,24
October 2023,5d9e3,47821.65,372,Waffle World,2,25
October 2023,e8b3c,47562.27,328,Taco Delight,5,26
October 2023,0e7a4,47130.49,344,Crepe Corner,2,27
October 2023,2a1c4,47099.47,387,BBQ Corner,2,28
October 2023,9f4a2,47084.55,394,Burrito Express,8,29
October 2023,5b8d2,45779.840000000004,397,Sushi Stop,2,30
October 2023,6f5a0,45544.88,356,Pizza Spot,1,31
October 2023,1d4f2,45067.7,442,Pho Express,8,32
October 2023,e3b2d,45015.42,316,Waffle House,8,33
October 2023,8b7a3,44432.39,369,Pie Paradise,2,34
October 2023,9f6b0,43753.32,352,Salad King,2,35
October 2023,b4a8f,42928.05,340,Burrito Bar,2,36
October 2023,a6c9f,42853.47,332,Seafood Bay,8,37
October 2023,1a3f7,42458.38,406,Tasty Garden,8,38
October 2023,4b1d7,42379.76,259,Pizza Haven,5,39
October 2023,f9e4c,42177.76,319,Poke Bar,5,40
October 2023,c5a8e,41781.47,334,Korean BBQ,2,41
October 2023,0c2d7,41673.29,287,Fried Chicken Express,4,42
October 2023,2f7b5,41573.37,346,Ramen House,8,43
October 2023,3d9c8,39946.83,304,Teriyaki Express,8,44
October 2023,9b4c2,39934.71,332,Fish & Chips Co.,1,45
October 2023,6a0c3,39876.58,340,Indian Curry House,5,46
October 2023,b2d8e,39180.72,259,Curry House,8,47
October 2023,6a9c1,39133.9,243,Falafel Stop,2,48
October 2023,7f4d2,38254.87,349,Rice Bowl House,2,49
October 2023,a9f4e,36948.54,268,Sushi World,2,50
October 2023,3e2b6,36663.79,345,Bagel Bros,8,51
October 2023,2a3e9,36427.27,395,Tapas Corner,1,52
October 2023,8d5f9,36278.61,285,Wings Express,2,53
October 2023,a3e8b,36114.21,324,Indian Spice,8,54
October 2023,1a5f4,35770.15,290,Shawarma Shack,5,55
October 2023,a4f0b,35547.74,189,Hot Dog Express,8,56
October 2023,a1b5e,35418.71,323,Steak Corner,4,57
October 2023,b7a3e,35210.5,288,Noodle Corner,2,58
October 2023,3b1c6,34618.92,227,Salad Express,5,59
October 2023,2e8a5,34614.07,216,Burger Barn,8,60
October 2023,9a8c5,34586.72,285,Veggie World,5,61
October 2023,a5c3b,33615.96,310,Taco Town,5,62
October 2023,d4f7a,33211.92,295,Noodle Spot,2,63
October 2023,4a3e6,33086.22,319,Gourmet Grill,1,64
