month,merchant_id,total_sales,order_count,merchant_name,city_id,rank
April 2023,0c6e4,155456.38,1015,Sandwich Express,6,1
April 2023,d4f0a,103246.68,813,Pasta Mania,2,2
April 2023,b0a4f,85534.55,633,Gourmet Express,5,3
April 2023,2b5d7,76093.81999999999,621,Bagel House,4,4
April 2023,5c1f8,72976.03,564,Burger Factory,5,5
April 2023,f7d1a,72906.12,401,Pancit Hub,8,6
April 2023,7c1a9,70337.13,624,Fried Chicken Hub,8,7
April 2023,5b3d8,69551.95,481,Veggie Delight,8,8
April 2023,3f7e4,64220.97,656,Pizza Express,3,9
April 2023,3b7f0,62587.23,471,Donut Palace,2,10
April 2023,9d5f2,61095.29,501,Chili Express,2,11
April 2023,f1c7a,60274.159999999996,484,Thai Orchid,5,12
April 2023,1f5b7,59461.58,542,Mediterranean Grill,5,13
April 2023,7a8e0,58683.58,462,Thai Delight,2,14
April 2023,8f2a6,57467.94,351,Sushi Haven,4,15
April 2023,9c8e2,56138.58,384,Pie Town,5,16
April 2023,6f5a0,55483.16,409,Pizza Spot,1,17
April 2023,8f7c2,54942.82,433,Pancit Palace,2,18
April 2023,7e2d8,53874.44,402,Teriyaki Bowl,8,19
April 2023,c5a8e,52879.81,366,Korean BBQ,2,20
April 2023,7c5b9,52488.91,383,Pizza Palace,5,21
April 2023,9f6b0,51919.06,352,Salad King,2,22
April 2023,0e1b3,51864.98,408,Chicken Shack,2,23
April 2023,1d4f2,51780.22,465,Pho Express,8,24
April 2023,4a7c1,51580.47,412,Poke Express,5,25
April 2023,8b7a3,51227.23,353,Pie Paradise,2,26
April 2023,e8b3c,50960.24,369,Taco Delight,5,27
April 2023,e3b2d,50932.15,333,Waffle House,8,28
April 2023,0c2d7,49901.35,277,Fried Chicken Express,4,29
April 2023,2a1c4,48231.159999999996,382,BBQ Corner,2,30
April 2023,1c2e6,47397.28,286,Shawarma Express,7,31
April 2023,c9f0b,47069.33,388,Smoothie King,5,32
April 2023,6a0c3,46203.159999999996,391,Indian Curry House,5,33
April 2023,1a3f7,45136.75,411,Tasty Garden,8,34
April 2023,b4a8f,45006.35,378,Burrito Bar,2,35
April 2023,a5c3b,44195.58,279,Taco Town,5,36
April 2023,5d9e3,44009.54,369,Waffle World,2,37
April 2023,3d9c8,43824.22,320,Teriyaki Express,8,38
April 2023,2f7b5,43317.08,329,Ramen House,8,39
April 2023,f9e4c,42961.8,311,Poke Bar,5,40
April 2023,5b8d2,42839.53,367,Sushi Stop,2,41
April 2023,2a3e9,42080.83,403,Tapas Corner,1,42
April 2023,7f4d2,41027.7,363,Rice Bowl House,2,43
April 2023,0e7a4,40902.73,335,Crepe Corner,2,44
April 2023,4d9f1,40507.23,342,Salad Bowl,5,45
April 2023,9b4c2,39922.35,280,Fish & Chips Co.,1,46
April 2023,9f4a2,39802.36,388,Burrito Express,8,47
April 2023,5e0b4,39720.84,350,Tapas Express,2,48
April 2023,b0e7f,39136.08,335,Dumpling World,2,49
April 2023,b7a3e,38864.63,276,Noodle Corner,2,50
April 2023,6d0f7,37210.35,208,Chili House,5,51
April 2023,a1b5e,37147.41,311,Steak Corner,4,52
April 2023,a4f0b,36739.69,201,Hot Dog Express,8,53
April 2023,c8d3e,36249.36,330,Pho Haven,5,54
April 2023,1a5f4,36158.82,325,Shawarma Shack,5,55
April 2023,6d8e2,35978.12,267,Salad Stop,8,56
April 2023,3b1c6,35976.36,215,Salad Express,5,57
April 2023,a9f4e,34329.05,250,Sushi World,2,58
April 2023,e8c2b,33700.34,235,BBQ Nation,5,59
April 2023,c5e2a,33509.15,218,Curry Corner,5,60
April 2023,a6c9f,33334.51,303,Seafood Bay,8,61
April 2023,6a9c1,33249.49,252,Falafel Stop,2,62
April 2023,b2d8e,33163.409999999996,278,Curry House,8,63
April 2023,b3e8f,33099.57,242,Sushi Delight,2,64
April 2023,e9a1c,32830.67,321,Donut Den,8,65
April 2023,9a8c5,32805.01,282,Veggie World,5,66
April 2023,3c7e9,32341.8,266,Pancake House,6,67
April 2023,4e2d1,32196.5,220,Burger Bliss,5,68
April 2023,4b1d7,32167.24,222,Pizza Haven,5,69
April 2023,4a3e6,31973.27,340,Gourmet Grill,1,70
April 2023,4f0c5,31884.72,321,Ramen Express,2,71
April 2023,0e1f9,31505.420000000002,252,Dim Sum Delight,2,72
April 2023,a3e8b,30702.3,316,Indian Spice,8,73
April 2023,8d5f9,30349.489999999998,262,Wings Express,2,74
April 2023,7f2c1,28886.5,291,Dumpling Delight,5,75
April 2023,8a2c6,28883.0,204,Sandwich Hub,1,76
April 2023,3e2b6,28431.34,316,Bagel Bros,8,77
April 2023,d4f7a,28277.079999999998,335,Noodle Spot,2,78
April 2023,e7a2f,28189.0,206,Crepe Delight,4,79
April 2023,f3b8d,27743.93,262,Taco Express,1,80
April 2023,d3b6a,26773.03,224,Hot Dog Hut,1,81
April 2023,4c9a2,26751.14,146,Steak Express,8,82
April 2023,7d3c1,26537.36,233,Taco Villa,6,83
April 2023,5e7b2,26402.2,272,Smoothie Bar,2,84
April 2023,7d4e1,26331.52,200,Dim Sum Palace,5,85
April 2023,6c3f2,26098.23,236,Wings Spot,5,86
April 2023,d1e9b,25646.49,149,Falafel Express,2,87
April 2023,2e8a5,24180.25,192,Burger Barn,8,88
April 2023,9b5a0,23823.47,206,Noodle Nest,5,89
April 2023,6f1c4,23720.74,211,French Toast Cafe,2,90
April 2023,5f1d3,22844.85,178,Seafood Express,5,91
April 2023,f8a3d,22379.74,204,BBQ Spot,2,92
April 2023,8e9a0,21162.96,160,Mediterranean Delight,8,93
April 2023,0c5d8,20344.9,213,Burger Joint,8,94
April 2023,2a9c5,19777.48,158,Curry Spot,5,95
April 2023,d6e4a,17127.75,179,Rice Express,1,96
April 2023,2d7a9,16331.82,162,Korean Kitchen,1,97
April 2023,2f3d7,14492.19,204,French Bistro,5,98
April 2023,b9e5f,12709.09,190,Fish Shack,8,99
April 2023,b9e8c,9826.94,121,Curry Delight,8,100
